Date,Close,High,Low,Open,Volume
,BPCL.NS,BPCL.NS,BPCL.NS,BPCL.NS,BPCL.NS
2020-01-01,157.65008544921875,158.37155945850233,156.64002379334525,157.76231669667527,4766592
2020-01-02,156.33541870117188,157.66614543819733,155.98270585511673,157.50581785885635,6424966
2020-01-03,155.0367431640625,156.0788722546172,151.62176825521433,155.16500324885348,22655540
2020-01-06,150.43531799316406,153.91442731778292,149.15269776551588,152.3111520332227,15332634
2020-01-07,147.82200622558594,152.23101400346403,147.45325480492323,150.03452453517946,23454588
2020-01-08,147.4692840576172,148.9122320616753,143.82984657914707,144.2948004058128,24743076
2020-01-09,150.88426208496094,152.11878624821972,149.2489288092239,151.39731223164716,12999312
2020-01-10,150.78807067871094,152.21498988167735,149.55354650550439,151.92639244422872,8708498
2020-01-13,150.94839477539062,152.71199790075366,150.38724832641148,151.02855855381623,7338838
2020-01-14,151.7821044921875,153.51364019998283,151.3812855882711,151.95846089566362,7216716
2020-01-15,150.05055236816406,151.6538278084239,148.52744069991724,151.50952910455385,9956518
2020-01-16,148.07850646972656,150.54755440726575,147.54942756471564,150.06657180532562,6370550
2020-01-17,145.5453338623047,149.18477085258613,144.93609118832654,148.14264187833376,11132598
2020-01-20,146.58749389648438,149.64975632566336,144.8078618006966,145.88205846658013,11681302
2020-01-21,148.73587036132812,149.58560442074267,145.9140996048506,146.7317759827008,8398840
2020-01-22,146.04237365722656,149.5695798646539,145.60948730191885,149.16876097744625,7460864
2020-01-23,150.38723754882812,151.28506788860426,146.53937646015873,147.34101418696486,11131352
2020-01-24,149.45736694335938,151.7340204589518,149.00845169177094,150.46742870583796,7871260
2020-01-27,149.98641967773438,151.28506888950542,148.46330798672585,149.58560081167948,8828966
2020-01-28,154.21908569335938,154.63593344001848,149.93833783385273,150.41932051951375,15217662
2020-01-29,153.60983276367188,156.12697743642357,152.84026242557152,155.18105069491486,14264654
2020-01-30,150.59567260742188,155.35740301612316,149.15272459179226,153.93048384197576,10891876
2020-01-31,146.52337646484375,151.54162766543274,146.23477899788608,150.7079223083056,13892950
2020-02-03,147.59754943847656,148.62364974796313,141.87386331227577,143.0923488673755,18802900
2020-02-04,153.4334716796875,154.26717693120426,148.1426623114224,149.10462765110697,15683820
2020-02-05,160.87266540527344,162.87675975312857,153.27313572396002,153.9144459152737,30234094
2020-02-06,158.74029541015625,163.53409282990702,157.8264362493059,161.38569985299299,22467954
2020-02-07,157.56993103027344,158.9166865085155,155.8383952622608,158.66015652971706,9022030
2020-02-10,155.66201782226562,158.90062641249912,154.98864017411984,157.76230475382695,8848392
2020-02-11,154.23509216308594,158.38757932787712,153.93046592544036,157.3775080060083,7943310
2020-02-12,152.2310333251953,155.74221115184062,151.958474489027,154.87643832768686,7549204
2020-02-13,150.38723754882812,153.43346091069137,150.06658245810567,153.17694075236014,8083000
2020-02-14,152.77615356445312,155.3574236657039,150.6758564133907,151.0285790434397,23043576
2020-02-17,148.03042602539062,153.41743761560903,147.50134706369863,153.41743761560903,9025984
2020-02-18,150.94839477539062,151.50954122436977,146.21873184828067,148.0624987520693,11940592
2020-02-19,152.48753356933594,154.23510783220138,150.54757406906143,151.83019450841445,10786834
2020-02-20,151.26902770996094,153.91443201013513,150.88423771568918,152.26306037381627,8752120
2020-02-24,148.9923858642578,152.53563048614174,148.4633069219832,151.0285476463371,12382886
2020-02-25,146.45921325683594,150.88424961176125,145.86599937956993,150.64375829278453,11044046
2020-02-26,143.91001892089844,147.35706158016274,142.1143580152645,146.73178994589958,14491090
2020-02-27,142.38690185546875,144.18257248123413,140.607269857044,143.28474206116027,12178324
2020-02-28,136.71128845214844,140.73550558988416,134.83545437119295,140.73550558988416,12199026
2020-03-02,132.22215270996094,141.68147960994565,130.34631813029787,138.5230244336745,15624380
2020-03-03,136.2784423828125,136.9678490165665,132.59090805951288,133.10395827031311,11415592
2020-03-04,134.25827026367188,137.46482068997773,129.9935523253159,135.3484954514928,15457514
2020-03-05,134.16209411621094,137.60913649859225,133.72920776688147,134.24225789254538,11450828
2020-03-06,129.25607299804688,131.42049492691373,127.62073002800182,128.32617516350896,15762914
2020-03-09,135.90968322753906,145.7056938533677,130.12185207144236,132.71916066603296,79590744
2020-03-11,129.6729278564453,135.74934626121444,128.59873125324006,135.74934626121444,29496116
2020-03-12,110.40152740478516,125.87313323151551,105.99252056297081,125.4723144277142,35196480
2020-03-13,120.58235931396484,127.20389566436488,88.3244606386483,108.31730042956353,50824080
2020-03-16,116.92689514160156,124.17370328117741,112.13310665776635,112.22929928576396,33314334
2020-03-17,114.53800201416016,123.66063344946015,113.51190181234425,117.03910780086342,19649626
