Date,Close,High,Low,Open,Volume
,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
2020-01-01,76.68421936035156,76.84111691131139,74.62491971833632,74.7425968716943,13620373
2020-01-02,76.52732849121094,77.15492411366203,76.23314354195433,76.7038415888389,5673692
2020-01-03,75.70359802246094,76.40963961529471,75.0171613069506,76.19390616197988,7358268
2020-01-06,75.7428207397461,76.0762313488781,73.74236240513808,75.31135381988771,7355290
2020-01-07,75.19367218017578,76.29196557289288,74.97793873313003,75.76243173356353,14023712
2020-01-08,74.74259185791016,74.89948939834518,74.07577066083154,74.6445302301153,9451757
2020-01-09,75.6839828491211,75.86049590822455,74.97794125307495,75.29173633572127,7714854
2020-01-10,75.37020111083984,75.97818118617948,74.91911328441746,75.97818118617948,4118638
2020-01-13,76.40963745117188,76.48808887934648,75.23289794965477,75.46824691399493,27682638
2020-01-14,76.5861587524414,77.01762569331771,76.1939122096926,76.40964568013075,5994314
2020-01-15,76.19390869140625,76.80188867651948,75.66437481910997,76.64499113070161,7114590
2020-01-16,77.05683898925781,77.547147088651,76.13505869836193,76.13505869836193,8552344
2020-01-17,77.42948913574219,77.60599689101542,75.95856457421024,76.86072951054277,4698386
2020-01-20,80.27327728271484,82.76404395813306,79.7241331725889,80.17521564447149,49337827
2020-01-21,78.68466186523438,80.13597598687902,78.05707174578275,79.88101683582886,17283910
2020-01-22,78.46895599365234,79.37112109744157,75.72322963580731,78.64546910187364,56787054
2020-01-23,79.21419525146484,81.35194070975601,76.0566131945376,77.17451673400927,226059260
2020-01-24,77.25297546386719,77.7236734479972,76.19391297985108,77.0568521905104,16151679
2020-01-27,75.70359802246094,77.05684529542296,75.4290233362568,77.03723509791571,8213919
2020-01-28,74.70337677001953,75.70360870792994,74.17384284055925,75.70360870792994,9174575
2020-01-29,75.46825408935547,76.01739817823817,74.23267323913919,74.70337121257246,17600091
2020-01-30,76.25273895263672,76.5861495378954,75.075999465971,75.46824596152624,26386034
2020-01-31,73.2912826538086,76.68421946383737,72.60485121227188,76.6057680281595,63986362
2020-02-03,73.4874038696289,74.13460957524417,69.60416431575327,70.95741164200628,16329297
2020-02-04,76.23313903808594,76.60577541320288,73.74237221749797,73.87965958307709,14207381
2020-02-05,74.27191925048828,76.76268651011256,73.74238521573578,76.13509081411647,14550344
2020-02-06,75.66436767578125,75.99777825428255,73.99732010345825,74.50723840927189,9175642
2020-02-07,74.68376159667969,75.62515223070982,73.95810443204955,75.62515223070982,18058457
2020-02-10,73.1932144165039,74.95832367836684,72.4675573225902,74.8014261413491,30471811
2020-02-11,74.33073425292969,74.99755548969485,73.78159016863233,73.93848771840527,32456571
2020-02-12,74.27191925048828,75.27215138728425,73.95812406258304,74.54649403004457,16386952
2020-02-13,74.74259185791016,74.9779408286546,73.62468823701191,74.05616046334609,18581113
