Date,Close,High,Low,Open,Volume
,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS
2020-01-01,1934.700439453125,1958.5605911534178,1930.5647186599565,1952.4761359651961,314519
2020-01-02,1932.235107421875,1950.1700296863833,1922.3729875516387,1946.8296467738478,546945
2020-01-03,1934.54150390625,1947.7838110687785,1920.7423045043283,1924.7189966461592,544720
2020-01-06,1883.48095703125,1931.8375809261343,1877.0388311183913,1931.8375809261343,624665
2020-01-07,1867.494384765625,1908.7325646501108,1858.7058565363361,1891.3147312124122,620687
2020-01-08,1843.23681640625,1865.1086255940613,1837.669446794807,1846.7760339672072,595883
2020-01-09,1872.6636962890625,1880.9749420819915,1850.0363621420208,1861.8868242765082,732115
2020-01-10,1879.74267578125,1899.0296337577001,1869.840750624103,1874.6127814636372,578287
2020-01-13,1882.3675537109375,1895.2121939000049,1870.9147560143151,1895.2121939000049,434063
2020-01-14,1917.879150390625,1923.764771700647,1877.8339740642168,1882.5661992282346,787340
2020-01-15,1969.496826171875,1972.8770148994854,1919.9471972828348,1924.6794226666009,1051367
2020-01-16,1936.251220703125,1968.422618252488,1930.2861830546249,1968.422618252488,590255
2020-01-17,1951.7607421875,1968.3832397058716,1925.9918516230175,1944.602695455761,457663
2020-01-20,1921.2197265625,1956.2542315697494,1916.845364884693,1951.7606467886856,320280
2020-01-21,1907.7784423828125,1918.8733757466098,1888.9289585575682,1916.7658063678903,568473
2020-01-22,1908.056396484375,1916.7653120757332,1892.1098246589913,1915.7313334459593,346888
2020-01-23,1932.4732666015625,1936.5295696688577,1892.9051855177358,1906.4259368428625,315469
2020-01-24,1963.41259765625,1968.304046651666,1930.3664334852422,1940.626223966755,519690
2020-01-27,1953.1522216796875,1987.1529373375545,1928.735372311142,1953.351056274178,897656
2020-01-28,1963.5714111328125,1995.4643664923315,1940.6258191667466,1953.9477382122561,904634
2020-01-29,1977.4901123046875,1996.299791635777,1964.4862491395893,1975.620989013255,787135
2020-01-30,1974.268798828125,2005.8436984663194,1959.7140654325974,1977.9670451860532,797868
2020-01-31,1989.817626953125,2005.7640079219645,1982.0232711196272,1994.7088808692163,574957
2020-02-03,1889.8433837890625,1963.6906366777598,1875.408068564665,1901.6542374631526,1507692
2020-02-04,1958.1629638671875,1976.0978837806347,1909.4484864364981,1918.3562377603696,1187298
2020-02-05,1887.537353515625,1971.5647998736176,1865.5065128846452,1966.0770411421574,2176980
2020-02-06,1917.7996826171875,1930.2864577031667,1873.0220881297723,1904.835626781658,1632634
2020-02-07,1943.3701171875,1985.165200610569,1925.7932501451082,1972.4397826579373,2709754
2020-02-10,1897.4390869140625,1954.5046262830056,1889.0482266109875,1948.181723821963,949025
2020-02-11,1905.988525390625,1943.2900100282013,1900.8586319343015,1920.742090427338,680119
2020-02-12,1927.14501953125,1932.6725833524522,1908.812428002422,1916.7658131190985,467714
2020-02-13,1915.9305419921875,1941.6598188108644,1909.6076400779605,1923.9237323401026,514501
2020-02-14,1874.21533203125,1938.876396325144,1869.9205814417624,1927.9006852721197,798770
2020-02-17,1867.5494384765625,1909.7938346462302,1856.2623942925068,1909.7938346462302,818134
2020-02-18,1842.4398193359375,1867.426669882501,1819.8249953342709,1867.426669882501,839607
2020-02-19,1841.5810546875,1863.1735035652814,1821.5015988105042,1859.901908300022,729471
2020-02-20,1832.2978515625,1861.5377346975783,1828.3718972470583,1854.1766452369993,886179
2020-02-24,1786.4547119140625,1815.7355320520926,1778.9300820780636,1815.7355320520926,808263
2020-02-25,1786.413818359375,1810.8281806132115,1769.9741701334078,1791.362146684603,861921
2020-02-26,1752.389404296875,1795.288163529946,1747.032126332558,1783.0196794967117,972076
2020-02-27,1725.9710693359375,1765.5572942874821,1718.405504880846,1756.7648815423756,1093297
2020-02-28,1678.1240234375,1725.7666330952236,1663.565383468285,1701.2296667478981,1879071
2020-03-02,1615.71826171875,1725.7665931775086,1603.8996631379596,1717.5876045842504,1207967
2020-03-03,1680.65966796875,1688.020758215173,1616.1682585479807,1616.1682585479807,1689926
2020-03-04,1673.707275390625,1695.7906439662165,1636.206633452438,1693.0506029725302,976550
2020-03-05,1688.0615234375,1711.9443319632023,1678.5740156494521,1686.2621857261768,899516
2020-03-06,1667.123291015625,1679.5143789069289,1612.078657644615,1612.078657644615,606826
2020-03-09,1599.8511962890625,1645.2036507263308,1566.5218158430778,1631.7083187666071,844134
2020-03-11,1665.282958984375,1676.5290679389236,1594.00305571513,1609.6249034583059,1848085
2020-03-12,1559.8966064453125,1618.5808474152645,1467.1060242488022,1599.8101092296347,2248848
2020-03-13,1540.8804931640625,1589.1774600251224,1255.4747303852614,1440.3198698426354,1184611
2020-03-16,1458.7225341796875,1509.0233112203664,1452.0158038440625,1486.9400432512878,883109
2020-03-17,1505.87451171875,1556.9522557813152,1436.516648193523,1458.3136728627055,1236906
2020-03-18,1375.0106201171875,1521.291803989564,1362.6194330358137,1505.7517264219287,1118487
2020-03-19,1400.6107177734375,1463.2209089567655,1277.516952095409,1347.8971816437952,1276786
2020-03-20,1485.0589599609375,1509.5959264184592,1369.9806272116293,1410.8755713074988,1244977
2020-03-23,1321.724365234375,1368.4672982429183,1243.2060861115408,1336.5692473492668,750837
2020-03-24,1330.7623291015625,1434.6763153776353,1206.4007722679187,1349.5330672827563,1488860
2020-03-25,1363.9688720703125,1376.9325473054023,1247.5410048339556,1275.9220515571294,1027510
2020-03-26,1473.771728515625,1495.0779303389204,1345.9341182112425,1382.1670715661228,1448305
2020-03-27,1358.693359375,1497.0409524792376,1341.8446651451718,1484.4862266736723,1514916
2020-03-30,1270.60595703125,1341.3542127655296,1261.445529173224,1337.264718214415,1250949
2020-03-31,1305.734375,1336.2420372717238,1280.0115001256297,1302.9126643451298,1456425
2020-04-01,1341.06787109375,1347.3656523103743,1280.011701894571,1300.5409430877135,1641556
2020-04-03,1293.956787109375,1327.4497017550873,1262.1405050349986,1316.8579526356489,1592821
2020-04-07,1447.026611328125,1463.2210485600021,1327.9814931344984,1333.175130884742,1374508
2020-04-08,1489.925537109375,1540.7579732334693,1390.4281168939908,1392.063914678572,1376705
2020-04-09,1628.3546142578125,1646.7573358267086,1515.5663585406573,1536.9544304656276,2416795
2020-04-13,1569.5887451171875,1655.0182355505024,1544.2338821065298,1596.5384708646309,1560999
2020-04-15,1491.92919921875,1614.5322507949695,1481.7872340074284,1586.7236912574674,1537624
2020-04-16,1458.0272216796875,1478.311050705768,1433.408489356939,1472.2177449755259,1453445
2020-04-17,1501.58056640625,1533.5603924893944,1482.032763301751,1504.8929969493242,1327762
2020-04-20,1477.00244140625,1537.6087189643076,1461.62600477256,1533.5192252040993,2291195
2020-04-21,1494.7509765625,1504.0341078791603,1437.86607566883,1460.0311129535132,1650618
2020-04-22,1543.90673828125,1558.0972629387318,1469.6824198499166,1472.2178862413214,2737381
2020-04-23,1525.3812255859375,1573.1873693682394,1517.2022377811873,1554.0076829025636,1882834
2020-04-24,1549.754638671875,1586.2329040654752,1504.9337458693037,1506.9784928066263,1711725
2020-04-27,1582.7977294921875,1594.0847729518623,1551.9220495645668,1561.3688207106748,1322269
2020-04-28,1589.2593994140625,1613.5510576696802,1566.7671787187749,1595.148331646263,1056981
2020-04-29,1611.4649658203125,1650.9285793723136,1587.541428071172,1608.193370914447,1836009
2020-04-30,1772.1416015625,1797.8237482067648,1615.3504139753863,1649.7839395404992,2785165
2020-05-04,1636.3701171875,1697.099104125299,1623.529145744525,1677.510467467013,1328847
2020-05-05,1607.4576416015625,1677.5107049022597,1590.9361231572313,1663.6064230966338,1318956
2020-05-06,1657.67626953125,1683.9716341213482,1581.202737422617,1620.2574022160634,1881161
2020-05-07,1636.0430908203125,1677.837601766381,1622.2205804456717,1635.797681231661,1112730
2020-05-08,1605.208251953125,1668.5136424740504,1598.9922407042982,1668.5136424740504,1139464
2020-05-11,1708.30419921875,1746.0503475537823,1627.6185648109724,1648.0660342181457,4445410
2020-05-12,1729.283447265625,1745.3960134514634,1652.155551626971,1711.8621631461635,2919966
2020-05-13,1789.2353515625,1852.540633743322,1756.846481801614,1799.2546110606702,3253820
2020-05-14,1833.19775390625,1844.3619938631261,1732.8823354062383,1746.9910912351247,2570474
2020-05-15,1794.1021728515625,1839.4546269408238,1774.8406138112882,1839.4546269408238,2080650
2020-05-18,1693.50048828125,1814.508582093116,1684.994220509817,1796.9237569792995,1803530
2020-05-19,1695.913330078125,1740.4478842206308,1687.1618519862186,1733.1277291707484,1389745
2020-05-20,1655.0999755859375,1691.2511620984096,1628.722739542934,1684.0536127920714,2782627
2020-05-21,1733.53662109375,1742.124559060952,1652.155685118837,1670.9673587612792,2636698
2020-05-22,1758.9732666015625,1766.5795658143986,1704.3785208496158,1733.127584245313,2241339
2020-05-26,1728.7518310546875,1774.7586415435003,1718.4054904354716,1765.0257250641353,1513568
2020-05-27,1779.46142578125,1788.7446569373242,1730.0604186495998,1738.0349318663987,1403554
2020-05-28,1879.61328125,1909.7936666008713,1771.6913766184966,1797.41445320144,3727629
2020-05-29,1930.9366455078125,1956.3322459173746,1840.2724750316493,1860.7199469764453,3368722
2020-06-01,1902.677978515625,1962.1391800934564,1891.2683304311206,1930.854551648865,2028590
2020-06-02,1896.093994140625,1956.0460193118631,1866.3632913033812,1930.159401103001,2408304
2020-06-03,1881.330810546875,1939.2380864690028,1873.642641574252,1921.080772748947,1562885
2020-06-04,1905.0908203125,1915.2326857747087,1850.9459585403954,1864.8093035580123,1532156
2020-06-05,1914.4150390625,1933.472123952807,1887.7107190323202,1917.0732105689365,1138282
2020-06-08,1950.116455078125,1995.509845607992,1926.151976537598,1929.4235722514625,2354805
2020-06-09,1952.56982421875,1987.0851132718185,1938.4201351941592,1950.6886170624769,1980625
2020-06-10,1874.8287353515625,1957.3546536886674,1866.6088115497716,1952.3246553753645,3106338
2020-06-11,1889.3056640625,1917.973062567411,1881.1676093411709,1894.2539927105006,2056461
2020-06-12,1964.4703369140625,1975.2256263939603,1824.486835755877,1833.729132246484,3296719
2020-06-15,1920.54931640625,1958.8270267410635,1894.2539453538368,1958.8270267410635,1416097
2020-06-16,1959.6448974609375,1992.1563798631357,1930.2414709229677,1946.5994494901115,2145404
2020-06-17,1932.9405517578125,1954.7784129196493,1914.7013659602087,1944.3502017210194,1731506
2020-06-18,1934.28955078125,1946.5989665355091,1915.6823547776016,1930.4454667081661,1087739
2020-06-19,1926.8470458984375,1948.889379514781,1907.5445535636748,1942.5097286799132,3602756
2020-06-22,1973.2628173828125,2001.4803273074128,1931.0591574487376,1939.3607507855054,3042752
2020-06-23,1978.37451171875,1999.7215497203765,1967.537353059901,1999.7215497203765,996657
2020-06-24,2039.67626953125,2081.5526523052044,1995.468795073329,2003.852258604224,3354520
2020-06-25,2093.57568359375,2114.2685648027555,2007.2464185064384,2022.6229570960172,3281309
2020-06-26,2077.831298828125,2118.8897852180853,2069.938654018795,2110.17924147795,1351753
2020-06-29,2048.059326171875,2069.2837579823076,2018.5740374309626,2069.2837579823076,1131627
