Date,Yesterday Close,Yesterday High,Yesterday Low,Yesterday Volume,Today Open,Today Close,Return,MA_5,MA_20,RSI,MACD,lag_1,lag_2,lag_3,lag_5,lag_10,Target
2020-01-29,1650.410400390625,1677.0196579778767,1646.5248152348522,681671.0,1659.5097035774122,1660.493408203125,0.006109394251341049,1656.047021484375,1542.8201538085937,85.56304578830053,32.885075785691015,1650.410400390625,1668.4122314453125,1641.5078125,1607.81591796875,1487.3123779296875,0.001658780768199808
2020-01-30,1660.493408203125,1667.330107319376,1643.8196628297462,230705.0,1657.5422679635326,1663.247802734375,0.001658780768199808,1656.8143310546875,1552.467840576172,85.38850482480505,33.31703575970232,1660.493408203125,1650.410400390625,1668.4122314453125,1659.4112548828125,1565.6151123046875,-0.018097988994905556
2020-01-31,1663.247802734375,1681.8889570627002,1652.8696710657125,634505.0,1671.5108424896944,1633.1463623046875,-0.018097988994905556,1655.142041015625,1561.0309936523438,77.82146191679786,31.235386366629655,1663.247802734375,1660.493408203125,1650.410400390625,1641.5078125,1592.2242431640625,0.02147325587957316
2020-02-03,1633.1463623046875,1671.560075753153,1629.457469979206,377299.0,1589.6665479686992,1668.21533203125,0.02147325587957316,1655.1026611328125,1572.5083557128905,79.48750188785048,31.63318305240523,1633.1463623046875,1663.247802734375,1660.493408203125,1668.4122314453125,1602.995849609375,-0.014623862690088307
2020-02-04,1668.21533203125,1689.6109059287246,1589.6665479686992,584886.0,1668.2153815190122,1643.819580078125,-0.014623862690088307,1653.7844970703125,1581.9691467285156,72.75454298599169,29.89163717074325,1668.21533203125,1633.1463623046875,1663.247802734375,1650.410400390625,1599.7003173828125,-0.008138691253712027
2020-02-05,1643.819580078125,1677.117955966,1633.933301054945,384789.0,1653.6073299636246,1630.4410400390625,-0.008138691253712027,1647.7740234375,1591.0093872070313,61.61842411555809,27.255991325128207,1643.819580078125,1668.21533203125,1633.1463623046875,1660.493408203125,1607.81591796875,-0.007481335219745366
2020-02-06,1630.4410400390625,1653.6073299636246,1623.1124892563837,438855.0,1638.5565662779138,1618.2431640625,-0.007481335219745366,1638.773095703125,1599.1470764160156,54.9172510622473,24.028363350487325,1630.4410400390625,1643.819580078125,1668.21533203125,1663.247802734375,1659.4112548828125,0.011002705963075954
2020-02-07,1618.2431640625,1638.5565662779138,1595.7654197794443,552992.0,1622.9157862765337,1636.0482177734375,0.011002705963075954,1639.353466796875,1607.8651489257813,56.08472433399835,22.494869422130932,1618.2431640625,1630.4410400390625,1643.819580078125,1633.1463623046875,1641.5078125,0.0015332952260349586
2020-02-10,1636.0482177734375,1651.1480583359787,1601.4709794286405,554048.0,1635.9008082129278,1638.5567626953125,0.0015332952260349586,1633.4217529296875,1616.8291625976562,57.17400417397262,21.21634329404037,1636.0482177734375,1618.2431640625,1630.4410400390625,1668.21533203125,1668.4122314453125,0.019361237905791473
2020-02-11,1638.5567626953125,1673.8717831125275,1607.8652261118643,778081.0,1643.278605590985,1670.28125,0.019361237905791473,1638.7140869140626,1626.894921875,60.60808967483916,22.25897273125156,1638.5567626953125,1636.0482177734375,1618.2431640625,1643.819580078125,1650.410400390625,-0.008451543761342606
2020-02-12,1670.28125,1675.1506600299283,1641.8030486269706,606839.0,1677.216094256032,1656.164794921875,-0.008451543761342606,1643.858837890625,1635.3375427246094,49.36825587311813,21.789289723016736,1670.28125,1638.5567626953125,1636.0482177734375,1630.4410400390625,1660.493408203125,0.00706846504927805
2020-02-13,1656.164794921875,1688.9713144501918,1643.327523844417,728165.0,1647.705391310408,1667.871337890625,0.00706846504927805,1653.78447265625,1640.4503540039063,55.25699057796957,22.02618491982821,1656.164794921875,1670.28125,1638.5567626953125,1618.2431640625,1663.247802734375,0.005249135597936716
2020-02-14,1667.871337890625,1679.183942069771,1628.0312970858065,902548.0,1692.9556937914526,1676.626220703125,0.005249135597936716,1661.9000732421875,1644.6704528808593,51.76570673140758,22.600929089893725,1667.871337890625,1656.164794921875,1670.28125,1636.0482177734375,1633.1463623046875,0.006248524745899431
2020-02-17,1676.626220703125,1719.2205597765658,1647.1641945411072,3179224.0,1698.8578833411982,1687.1026611328125,0.006248524745899431,1671.6092529296875,1648.8757934570312,58.15121328695792,23.564860334736295,1676.626220703125,1667.871337890625,1656.164794921875,1638.5567626953125,1668.21533203125,0.03489688869883634
