Date,Yesterday Close,Yesterday High,Yesterday Low,Yesterday Volume,Today Open,Today Close,Return,MA_5,MA_20,RSI,MACD,lag_1,lag_2,lag_3,lag_5,lag_10,Target
2020-01-29,227.7282257080078,232.28477749578772,226.9357950619989,2161711.0,229.5112069911456,230.1055450439453,0.010439282739530542,228.2433074951172,216.11150054931642,85.8408052798322,3.670374480997765,227.7282257080078,228.3720703125,227.5796356201172,223.7659912109375,214.55386352539065,-0.0034437879027707785
2020-01-30,230.1055450439453,236.09839580353864,228.81782267264225,3738186.0,230.10555608844945,229.3131103515625,-0.0034437879027707785,228.61971740722657,217.11691360473634,83.3334479490886,3.6889654537425827,230.1055450439453,227.7282257080078,228.3720703125,227.4310607910156,217.92173767089844,-0.008855380767864962
2020-01-31,229.3131103515625,230.5513020921217,226.0442811335572,2192123.0,228.81781610781505,227.28245544433597,-0.008855380767864962,228.5602813720703,218.16442337036133,75.44145951153132,3.5231946238061482,229.3131103515625,230.1055450439453,227.7282257080078,227.5796356201172,226.2423553466797,-0.037262986295636735
2020-02-03,227.28245544433597,232.33428340426224,225.00417979349385,2720308.0,219.60567813730825,218.813232421875,-0.037262986295636735,226.6485137939453,219.22183837890626,58.40825561625448,2.77748167408339,227.28245544433597,229.3131103515625,230.1055450439453,228.3720703125,224.4098663330078,0.020597561642337725
2020-02-04,218.813232421875,222.52780754298865,213.5633116757503,2720614.0,220.5466990404255,223.32025146484372,0.020597561642337725,225.7669189453125,220.28173065185547,60.727286714247676,2.475363304151159,218.813232421875,227.28245544433597,229.3131103515625,227.7282257080078,222.131591796875,0.04790408483035402
2020-02-05,223.32025146484372,225.0041891499619,219.9523760946075,2028088.0,224.6079479237713,234.0182037353516,0.04790408483035402,226.54945068359376,222.00281524658203,66.70093724273323,2.95488678342042,223.32025146484372,218.813232421875,227.28245544433597,230.1055450439453,223.7659912109375,0.0010583168374094232
2020-02-06,234.0182037353516,237.0393941504191,220.44762732473808,8985919.0,235.15736111686672,234.265869140625,0.0010583168374094232,227.54000244140624,223.41435317993165,60.000053249533785,3.3109327976953296,234.0182037353516,223.32025146484372,218.813232421875,229.3131103515625,227.4310607910156,0.012684942884864103
2020-02-07,234.265869140625,241.2988040274911,231.8885471275505,8852675.0,234.16679699636904,237.23751831054688,0.012684942884864103,229.53101501464843,224.91999359130858,65.54621351460008,3.7602906922470822,234.265869140625,234.0182037353516,223.32025146484372,227.28245544433597,227.5796356201172,0.020876858277400823
2020-02-10,237.23751831054688,239.8624785424469,233.02766673301107,5052443.0,237.23752564350275,242.19029235839844,0.020876858277400823,234.20642700195313,226.45039825439454,72.82977135269357,4.420987223025151,237.23751831054688,234.265869140625,234.0182037353516,218.813232421875,228.3720703125,0.0032719506825242828
2020-02-11,242.19029235839844,242.83414598547705,235.3059496476224,5588211.0,242.88366567511213,242.98272705078125,0.0032719506825242828,238.13892211914063,227.98328018188477,72.2988621345636,4.942195042773022,242.19029235839844,237.23751831054688,234.265869140625,223.32025146484372,227.7282257080078,0.017937196639361108
2020-02-12,242.98272705078125,246.2515559574928,241.3483050401036,3533751.0,243.5770504426447,247.34115600585935,0.017937196639361108,240.8035125732422,229.6226448059082,72.73755072623376,5.6082741388694615,242.98272705078125,242.19029235839844,237.23751831054688,234.0182037353516,230.1055450439453,0.007008497971899619
